"","ID","sample1","sample2","sample3","sample4"
"1",1,196,240,424,386
"2",2,240,386,196,424
"3",3,386,424,240,196
"4",4,424,196,386,240
"5",5,196,240,424,386
"6",6,240,386,196,424
"7",7,386,424,240,196
"8",8,424,196,386,240
"9",9,196,240,424,386
"10",10,240,386,196,424
"11",11,386,424,240,196
"12",12,424,196,386,240
"13",13,196,240,424,386
"14",14,240,386,196,424
"15",15,386,424,240,196
"16",16,424,196,386,240
"17",17,196,240,424,386
"18",18,240,386,196,424
"19",19,386,424,240,196
"20",20,424,196,386,240
"21",21,196,240,424,386
"22",22,240,386,196,424
"23",23,386,424,240,196
"24",24,424,196,386,240
"25",25,196,240,424,386
"26",26,240,386,196,424
"27",27,386,424,240,196
"28",28,424,196,386,240
"29",29,196,240,424,386
"30",30,240,386,196,424
"31",31,386,424,240,196
"32",32,424,196,386,240
"33",33,196,240,424,386
"34",34,240,386,196,424
"35",35,386,424,240,196
"36",36,424,196,386,240
"37",37,196,240,424,386
"38",38,240,386,196,424
"39",39,386,424,240,196
"40",40,424,196,386,240
"41",41,196,240,424,386
"42",42,240,386,196,424
"43",43,386,424,240,196
"44",44,424,196,386,240
"45",45,196,240,424,386
"46",46,240,386,196,424
"47",47,386,424,240,196
"48",48,424,196,386,240
"49",49,196,240,424,386
"50",50,240,386,196,424
"51",51,386,424,240,196
"52",52,424,196,386,240
"53",53,196,240,424,386
"54",54,240,386,196,424
"55",55,386,424,240,196
"56",56,424,196,386,240
"57",57,196,240,424,386
"58",58,240,386,196,424
"59",59,386,424,240,196
"60",60,424,196,386,240
"61",61,196,240,424,386
"62",62,240,386,196,424
"63",63,386,424,240,196
"64",64,424,196,386,240
"65",65,196,240,424,386
"66",66,240,386,196,424
"67",67,386,424,240,196
"68",68,424,196,386,240
"69",69,196,240,424,386
"70",70,240,386,196,424
"71",71,386,424,240,196
"72",72,424,196,386,240
"73",73,196,240,424,386
"74",74,240,386,196,424
"75",75,386,424,240,196
"76",76,424,196,386,240
"77",77,196,240,424,386
"78",78,240,386,196,424
"79",79,386,424,240,196
"80",80,424,196,386,240
"81",81,196,240,424,386
"82",82,240,386,196,424
"83",83,386,424,240,196
"84",84,424,196,386,240
"85",85,196,240,424,386
"86",86,240,386,196,424
"87",87,386,424,240,196
"88",88,424,196,386,240
"89",89,196,240,424,386
"90",90,240,386,196,424
"91",91,386,424,240,196
"92",92,424,196,386,240
"93",93,196,240,424,386
"94",94,240,386,196,424
"95",95,386,424,240,196
"96",96,424,196,386,240
"97",97,196,240,424,386
"98",98,240,386,196,424
"99",99,386,424,240,196
"100",100,424,196,386,240
"101",101,196,240,424,386
"102",102,240,386,196,424
"103",103,386,424,240,196
"104",104,424,196,386,240
"105",105,196,240,424,386
"106",106,240,386,196,424
"107",107,386,424,240,196
"108",108,424,196,386,240
"109",109,196,240,424,386
"110",110,240,386,196,424
"111",111,386,424,240,196
"112",112,424,196,386,240
"113",113,196,240,424,386
"114",114,240,386,196,424
"115",115,386,424,240,196
"116",116,424,196,386,240
"117",117,196,240,424,386
"118",118,240,386,196,424
"119",119,386,424,240,196
"120",120,424,196,386,240
"121",121,196,240,424,386
"122",122,240,386,196,424
"123",123,386,424,240,196
"124",124,424,196,386,240
"125",125,196,240,424,386
"126",126,240,386,196,424
"127",127,386,424,240,196
"128",128,424,196,386,240
"129",129,196,240,424,386
"130",130,240,386,196,424
"131",131,386,424,240,196
"132",132,424,196,386,240
"133",133,196,240,424,386
"134",134,240,386,196,424
"135",135,386,424,240,196
"136",136,424,196,386,240
"137",137,196,240,424,386
"138",138,240,386,196,424
"139",139,386,424,240,196
"140",140,424,196,386,240
"141",141,196,240,424,386
"142",142,240,386,196,424
"143",143,386,424,240,196
"144",144,424,196,386,240
"145",145,196,240,424,386
"146",146,240,386,196,424
"147",147,386,424,240,196
"148",148,424,196,386,240
"149",149,196,240,424,386
"150",150,240,386,196,424
"151",151,386,424,240,196
"152",152,424,196,386,240
"153",153,196,240,424,386
"154",154,240,386,196,424
"155",155,386,424,240,196
"156",156,424,196,386,240
"157",157,196,240,424,386
"158",158,240,386,196,424
"159",159,386,424,240,196
"160",160,424,196,386,240
"161",161,196,240,424,386
"162",162,240,386,196,424
"163",163,386,424,240,196
"164",164,424,196,386,240
"165",165,196,240,424,386
"166",166,240,386,196,424
"167",167,386,424,240,196
"168",168,424,196,386,240
"169",169,196,240,424,386
"170",170,240,386,196,424
"171",171,386,424,240,196
"172",172,424,196,386,240
"173",173,196,240,424,386
"174",174,240,386,196,424
"175",175,386,424,240,196
"176",176,424,196,386,240
"177",177,196,240,424,386
"178",178,240,386,196,424
"179",179,386,424,240,196
"180",180,424,196,386,240
"181",181,196,240,424,386
"182",182,240,386,196,424
"183",183,386,424,240,196
"184",184,424,196,386,240
"185",185,196,240,424,386
"186",186,240,386,196,424
"187",187,386,424,240,196
"188",188,424,196,386,240
"189",189,196,240,424,386
"190",190,240,386,196,424
"191",191,386,424,240,196
"192",192,424,196,386,240
"193",193,196,240,424,386
"194",194,240,386,196,424
"195",195,386,424,240,196
"196",196,424,196,386,240
"197",197,196,240,424,386
"198",198,240,386,196,424
"199",199,386,424,240,196
"200",200,424,196,386,240
