,ID,sample1,sample2,sample3,sample4
1,1,424,196,386,240
2,2,196,240,424,386
3,3,240,386,196,424
4,4,386,424,240,196
5,5,424,196,386,240
6,6,196,240,424,386
7,7,240,386,196,424
8,8,386,424,240,196
9,9,424,196,386,240
10,10,196,240,424,386
11,11,240,386,196,424
12,12,386,424,240,196
13,13,424,196,386,240
14,14,196,240,424,386
15,15,240,386,196,424
16,16,386,424,240,196
17,17,424,196,386,240
18,18,196,240,424,386
19,19,240,386,196,424
20,20,386,424,240,196
21,21,424,196,386,240
22,22,196,240,424,386
23,23,240,386,196,424
24,24,386,424,240,196
25,25,424,196,386,240
26,26,196,240,424,386
27,27,240,386,196,424
28,28,386,424,240,196
29,29,424,196,386,240
30,30,196,240,424,386
31,31,240,386,196,424
32,32,386,424,240,196
33,33,424,196,386,240
34,34,196,240,424,386
35,35,240,386,196,424
36,36,386,424,240,196
37,37,424,196,386,240
38,38,196,240,424,386
39,39,240,386,196,424
40,40,386,424,240,196
41,41,424,196,386,240
42,42,196,240,424,386
43,43,240,386,196,424
44,44,386,424,240,196
45,45,424,196,386,240
46,46,196,240,424,386
47,47,240,386,196,424
48,48,386,424,240,196
49,49,424,196,386,240
50,50,196,240,424,386
51,51,240,386,196,424
52,52,386,424,240,196
53,53,424,196,386,240
54,54,196,240,424,386
55,55,240,386,196,424
56,56,386,424,240,196
57,57,424,196,386,240
58,58,196,240,424,386
59,59,240,386,196,424
60,60,386,424,240,196
61,61,424,196,386,240
62,62,196,240,424,386
63,63,240,386,196,424
64,64,386,424,240,196
65,65,424,196,386,240
66,66,196,240,424,386
67,67,240,386,196,424
68,68,386,424,240,196
69,69,424,196,386,240
70,70,196,240,424,386
71,71,240,386,196,424
72,72,386,424,240,196
73,73,424,196,386,240
74,74,196,240,424,386
75,75,240,386,196,424
76,76,386,424,240,196
77,77,424,196,386,240
78,78,196,240,424,386
79,79,240,386,196,424
80,80,386,424,240,196
81,81,424,196,386,240
82,82,196,240,424,386
83,83,240,386,196,424
84,84,386,424,240,196
85,85,424,196,386,240
86,86,196,240,424,386
87,87,240,386,196,424
88,88,386,424,240,196
89,89,424,196,386,240
90,90,196,240,424,386
91,91,240,386,196,424
92,92,386,424,240,196
93,93,424,196,386,240
94,94,196,240,424,386
95,95,240,386,196,424
96,96,386,424,240,196
97,97,424,196,386,240
98,98,196,240,424,386
99,99,240,386,196,424
100,100,386,424,240,196
101,101,424,196,386,240
102,102,196,240,424,386
103,103,240,386,196,424
104,104,386,424,240,196
105,105,424,196,386,240
106,106,196,240,424,386
107,107,240,386,196,424
108,108,386,424,240,196
109,109,424,196,386,240
110,110,196,240,424,386
111,111,240,386,196,424
112,112,386,424,240,196
113,113,424,196,386,240
114,114,196,240,424,386
115,115,240,386,196,424
116,116,386,424,240,196
117,117,424,196,386,240
118,118,196,240,424,386
119,119,240,386,196,424
120,120,386,424,240,196
121,121,424,196,386,240
122,122,196,240,424,386
123,123,240,386,196,424
124,124,386,424,240,196
125,125,424,196,386,240
126,126,196,240,424,386
127,127,240,386,196,424
128,128,386,424,240,196
129,129,424,196,386,240
130,130,196,240,424,386
131,131,240,386,196,424
132,132,386,424,240,196
133,133,424,196,386,240
134,134,196,240,424,386
135,135,240,386,196,424
136,136,386,424,240,196
137,137,424,196,386,240
138,138,196,240,424,386
139,139,240,386,196,424
140,140,386,424,240,196
141,141,424,196,386,240
142,142,196,240,424,386
143,143,240,386,196,424
144,144,386,424,240,196
145,145,424,196,386,240
146,146,196,240,424,386
147,147,240,386,196,424
148,148,386,424,240,196
149,149,424,196,386,240
150,150,196,240,424,386
151,151,240,386,196,424
152,152,386,424,240,196
153,153,424,196,386,240
154,154,196,240,424,386
155,155,240,386,196,424
156,156,386,424,240,196
157,157,424,196,386,240
158,158,196,240,424,386
159,159,240,386,196,424
160,160,386,424,240,196
161,161,424,196,386,240
162,162,196,240,424,386
163,163,240,386,196,424
164,164,386,424,240,196
165,165,424,196,386,240
166,166,196,240,424,386
167,167,240,386,196,424
168,168,386,424,240,196
169,169,424,196,386,240
170,170,196,240,424,386
171,171,240,386,196,424
172,172,386,424,240,196
173,173,424,196,386,240
174,174,196,240,424,386
175,175,240,386,196,424
176,176,386,424,240,196
177,177,424,196,386,240
178,178,196,240,424,386
179,179,240,386,196,424
180,180,386,424,240,196
181,181,424,196,386,240
182,182,196,240,424,386
183,183,240,386,196,424
184,184,386,424,240,196
185,185,424,196,386,240
186,186,196,240,424,386
187,187,240,386,196,424
188,188,386,424,240,196
189,189,424,196,386,240
190,190,196,240,424,386
191,191,240,386,196,424
192,192,386,424,240,196
193,193,424,196,386,240
194,194,196,240,424,386
195,195,240,386,196,424
196,196,386,424,240,196
197,197,424,196,386,240
198,198,196,240,424,386
199,199,240,386,196,424
200,200,386,424,240,196
